ImmuneLandscapeccRCC_metadata_30-01-2023.xlsx,22,76.0,3,20.0
RenalTumorMicroenvironment_metadata_06-04-2023.xlsx,19,66.0,3,20.0
SuryawanshiKidneyAllografts_metadata_17-02-2023.xlsx,21,72.0,3,20.0
Menon-Human-FSG-10x3_metadata_17-05-2023.xlsx,18,62.0,3,20.0
HumanAdultKidneyLiaoMo.xlsx,22,76.0,2,13.0
ChimerismKidneyTransplantReject_metadata_24-08-2023.xlsx,21,72.0,5,33.0
GSE118184KidneyOrganoid_metadata_30-08-2022_specimen.xlsx,19,66.0,4,27.0
PathogenInducedResidentMemory_metadata_21-04-2023.xlsx,20,69.0,2,13.0
Diabetic Nephropathy snRNA-seq_metadata_01-09-2023.xlsx,22,76.0,3,20.0
ImmuneLandscapeccRCC_metadata_30-01-2023.xlsx,22,76.0,3,20.0
pancreasNormalIslets_metadata_15-12-2023.xlsx,22,76.0,3,20.0
HealthyAndDiabeticPancreas_metadata_18-07-2023.xlsx,19,66.0,4,27.0
pancreasCelSeq2_metadata_29-11-2023.xlsx,21,72.0,2,13.0
EastAsianPancreaticIslets.xlsx,20,69.0,4,27.0
dcp5924379466506983_metadata_17-04-2024.xlsx,18,62.0,2,13.0
HumanT2DPancreas.xlsx,21,72.0,3,20.0
scHumanPancreaticIslets_metadata_16-09-2022.xlsx,20,69.0,2,13.0
Faryabi-Human-10x3pv2_metadata_07-05-2024.xlsx,21,72.0,3,20.0
Lickert-Human-10x3pv2_metadata_01-02-2024.xlsx,20,69.0,3,20.0
HumanIsletType2Diabetes.xlsx,21,72.0,4,27.0
GarciaOcana-Human-10x3pv3_metadata_09-12-2023.xlsx,20,69.0,3,20.0
Single_cell_transcriptome_analysis_of_human_pancreas.xlsx,20,69.0,3,20.0
HumanEndocrinePancreas.xlsx,21,72.0,3,20.0
HumanMousePancreas_metadata_17-07-2023.xlsx,18,62.0,4,27.0
CPmicroEnvironment_metadata_25-01-2023.xlsx,22,76.0,3,20.0
Herrera-Human-10x3pv3_metadata_22-12-2023.xlsx,20,69.0,3,20.0
Healthy_and_type_2_diabetes_pancreas.xlsx,17,59.0,4,27.0
